,Unnamed: 0,track_id,artists,album_name_x,track_name_x,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,id,artist_pop,artist_name,artist_uri,track_name_y,album_uri,album_name_y,image_uri,track_pop,genres
0,0,5SuOikwiRyPMVoIQDJUgSV,Gen Hoshino,Comedy,Comedy,73,230666,False,0.676,0.461,1,-6.746,0,0.143,0.0322,1.01e-06,0.358,0.715,87.917,4,acoustic,5SuOikwiRyPMVoIQDJUgSV,58,Gen Hoshino,spotify:artist:1S2S00lgLYLGHWA44qGEUs,Comedy,spotify:album:41ERrwfzos93Xlf6hFBiDn,Comedy,https://i.scdn.co/image/ab67616d0000b27326573d555999566291e3b7a8,65,j-acoustic j-pop japanese_singer-songwriter
1,62102,5SuOikwiRyPMVoIQDJUgSV,Gen Hoshino,Comedy,Comedy,73,230666,False,0.676,0.461,1,-6.746,0,0.143,0.0322,1.01e-06,0.358,0.715,87.917,4,j-pop,5SuOikwiRyPMVoIQDJUgSV,58,Gen Hoshino,spotify:artist:1S2S00lgLYLGHWA44qGEUs,Comedy,spotify:album:41ERrwfzos93Xlf6hFBiDn,Comedy,https://i.scdn.co/image/ab67616d0000b27326573d555999566291e3b7a8,65,j-acoustic j-pop japanese_singer-songwriter
2,99152,5SuOikwiRyPMVoIQDJUgSV,Gen Hoshino,Comedy,Comedy,73,230666,False,0.676,0.461,1,-6.746,0,0.143,0.0322,1.01e-06,0.358,0.715,87.917,4,singer-songwriter,5SuOikwiRyPMVoIQDJUgSV,58,Gen Hoshino,spotify:artist:1S2S00lgLYLGHWA44qGEUs,Comedy,spotify:album:41ERrwfzos93Xlf6hFBiDn,Comedy,https://i.scdn.co/image/ab67616d0000b27326573d555999566291e3b7a8,65,j-acoustic j-pop japanese_singer-songwriter
3,102151,5SuOikwiRyPMVoIQDJUgSV,Gen Hoshino,Comedy,Comedy,73,230666,False,0.676,0.461,1,-6.746,0,0.143,0.0322,1.01e-06,0.358,0.715,87.917,4,songwriter,5SuOikwiRyPMVoIQDJUgSV,58,Gen Hoshino,spotify:artist:1S2S00lgLYLGHWA44qGEUs,Comedy,spotify:album:41ERrwfzos93Xlf6hFBiDn,Comedy,https://i.scdn.co/image/ab67616d0000b27326573d555999566291e3b7a8,65,j-acoustic j-pop japanese_singer-songwriter
4,1,4qPNDBW1i3p13qLCt0Ki3A,Ben Woodward,Ghost (Acoustic),Ghost - Acoustic,55,149610,False,0.42,0.166,1,-17.235,1,0.0763,0.924,5.56e-06,0.101,0.267,77.489,4,acoustic,4qPNDBW1i3p13qLCt0Ki3A,43,Ben Woodward,spotify:artist:142VT1MtWzaD13CnOiKFDn,Ghost - Acoustic,spotify:album:7eVgjZsbqcqTIAyYUpOJuR,Ghost (Acoustic),https://i.scdn.co/image/ab67616d0000b273935a71a0a54fac53488ea342,45,acoustic_chill
5,15190,4qPNDBW1i3p13qLCt0Ki3A,Ben Woodward,Ghost (Acoustic),Ghost - Acoustic,55,149610,False,0.42,0.166,1,-17.235,1,0.0763,0.924,5.56e-06,0.101,0.267,77.489,4,chill,4qPNDBW1i3p13qLCt0Ki3A,43,Ben Woodward,spotify:artist:142VT1MtWzaD13CnOiKFDn,Ghost - Acoustic,spotify:album:7eVgjZsbqcqTIAyYUpOJuR,Ghost (Acoustic),https://i.scdn.co/image/ab67616d0000b273935a71a0a54fac53488ea342,45,acoustic_chill
6,2,1iJBSr7s7jYXzM8EGcbK5b,Ingrid Michaelson;ZAYN,To Begin Again,To Begin Again,57,210826,False,0.438,0.359,0,-9.734,1,0.0557,0.21,0.0,0.117,0.12,76.332,4,acoustic,1iJBSr7s7jYXzM8EGcbK5b,54,Ingrid Michaelson,spotify:artist:2vm8GdHyrJh2O2MfbQFYG0,To Begin Again,spotify:album:5rrWBCnnYiFaT5EoyCeikd,To Begin Again,https://i.scdn.co/image/ab67616d0000b273ed344bc4daeaf8de2d9333b3,51,acoustic_pop ectofolk lilith neo_mellow
7,3,6lfxq3CG4xtTiEg7opyCyx,Kina Grannis,Crazy Rich Asians (Original Motion Picture Soundtrack),Can't Help Falling In Love,71,201933,False,0.266,0.0596,0,-18.515,1,0.0363,0.905,7.07e-05,0.132,0.143,181.74,3,acoustic,6lfxq3CG4xtTiEg7opyCyx,57,Kina Grannis,spotify:artist:7h4j9YTJJuAHzLCc3KCvYu,Can't Help Falling In Love,spotify:album:2wMz3oVNS1bMXaEWY6QWmA,Crazy Rich Asians (Original Motion Picture Soundtrack),https://i.scdn.co/image/ab67616d0000b273bb3df70b7531c9a5fb5d9974,67,acoustic_pop viral_pop
8,4,5vjLSffimiIP26QG5WcN2K,Chord Overstreet,Hold On,Hold On,82,198853,False,0.618,0.443,2,-9.681,1,0.0526,0.469,0.0,0.0829,0.167,119.949,4,acoustic,5vjLSffimiIP26QG5WcN2K,59,Chord Overstreet,spotify:artist:5D3muNJhYYunbRkh3FKgX0,Hold On,spotify:album:2EfmyRWheMtmVTCIsptsLi,Hold On,https://i.scdn.co/image/ab67616d0000b273c60473419a4ce96822541181,79,acoustic_pop singer-songwriter_pop
9,5,01MVOl9KtVTNfFiBU9I7dc,Tyrone Wells,Days I Will Remember,Days I Will Remember,58,214240,False,0.688,0.481,6,-8.807,1,0.105,0.289,0.0,0.189,0.666,98.017,4,acoustic,01MVOl9KtVTNfFiBU9I7dc,43,Tyrone Wells,spotify:artist:5zeCSgiRyezbfLiGOpKAsR,Days I Will Remember,spotify:album:7sGGGUDd6LjNoYOvVFiqj2,Days I Will Remember,https://i.scdn.co/image/ab67616d0000b273440fc1972291253a043a9724,0,acoustic_pop neo_mellow
10,56777,01MVOl9KtVTNfFiBU9I7dc,Tyrone Wells,Days I Will Remember,Days I Will Remember,58,214240,False,0.688,0.481,6,-8.807,1,0.105,0.289,0.0,0.189,0.666,98.017,4,indie-pop,01MVOl9KtVTNfFiBU9I7dc,43,Tyrone Wells,spotify:artist:5zeCSgiRyezbfLiGOpKAsR,Days I Will Remember,spotify:album:7sGGGUDd6LjNoYOvVFiqj2,Days I Will Remember,https://i.scdn.co/image/ab67616d0000b273440fc1972291253a043a9724,0,acoustic_pop neo_mellow
