artist_name,id,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_pop,genres,track_pop,genres_list,subjectivity,polarity
Gen Hoshino,5SuOikwiRyPMVoIQDJUgSV,Comedy,0.676,0.461,1,-6.746,0,0.143,0.0322,1.01e-06,0.358,0.715,87.917,58,j-acoustic j-pop japanese_singer-songwriter,65,"['j-acoustic', 'j-pop', 'japanese_singer-songwriter']",low,Neutral
Ben Woodward,4qPNDBW1i3p13qLCt0Ki3A,Ghost - Acoustic,0.42,0.166,1,-17.235,1,0.0763,0.924,5.56e-06,0.101,0.267,77.489,43,acoustic_chill,45,['acoustic_chill'],low,Neutral
Ingrid Michaelson,1iJBSr7s7jYXzM8EGcbK5b,To Begin Again,0.438,0.359,0,-9.734,1,0.0557,0.21,0.0,0.117,0.12,76.332,54,acoustic_pop ectofolk lilith neo_mellow,51,"['acoustic_pop', 'ectofolk', 'lilith', 'neo_mellow']",low,Neutral
Kina Grannis,6lfxq3CG4xtTiEg7opyCyx,Can't Help Falling In Love,0.266,0.0596,0,-18.515,1,0.0363,0.905,7.07e-05,0.132,0.143,181.74,57,acoustic_pop viral_pop,67,"['acoustic_pop', 'viral_pop']",high,Positive
Chord Overstreet,5vjLSffimiIP26QG5WcN2K,Hold On,0.618,0.443,2,-9.681,1,0.0526,0.469,0.0,0.0829,0.167,119.949,59,acoustic_pop singer-songwriter_pop,79,"['acoustic_pop', 'singer-songwriter_pop']",low,Neutral
Tyrone Wells,01MVOl9KtVTNfFiBU9I7dc,Days I Will Remember,0.688,0.481,6,-8.807,1,0.105,0.289,0.0,0.189,0.666,98.017,43,acoustic_pop neo_mellow,0,"['acoustic_pop', 'neo_mellow']",low,Neutral
A Great Big World,6Vc5wAMmXdKIAM7WUoEb7N,Say Something,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,57,neo_mellow piano_rock pop_rock viral_pop,71,"['neo_mellow', 'piano_rock', 'pop_rock', 'viral_pop']",low,Neutral
Jason Mraz,1EzrEOXmMH3G43AXT1y7pA,I'm Yours,0.703,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,69,acoustic_pop dance_pop neo_mellow pop,77,"['acoustic_pop', 'dance_pop', 'neo_mellow', 'pop']",low,Neutral
Jason Mraz,0IktbUcnAGrvD03AWnz3Q8,Lucky,0.625,0.414,0,-8.7,1,0.0369,0.294,0.0,0.151,0.669,130.088,69,acoustic_pop dance_pop neo_mellow pop,69,"['acoustic_pop', 'dance_pop', 'neo_mellow', 'pop']",high,Positive
Ross Copperman,7k9GuJYLp2AzqokyEdwEw2,Hunger,0.442,0.632,1,-6.77,1,0.0295,0.426,0.00419,0.0735,0.196,78.899,39,acoustic_pop piano_rock,55,"['acoustic_pop', 'piano_rock']",low,Neutral
Zack Tabudlo,4mzP5mHkRvGxdhdGdAH7EJ,Give Me Your Forever,0.627,0.363,8,-8.127,1,0.0291,0.279,0.0,0.0928,0.301,99.905,66,acoustic_opm opm p-pop,72,"['acoustic_opm', 'opm', 'p-pop']",low,Neutral
Jason Mraz,5ivF4eQBqJiVL5IAE9jRyl,I Won't Give Up,0.483,0.303,4,-10.058,1,0.0429,0.694,0.0,0.115,0.139,133.406,69,acoustic_pop dance_pop neo_mellow pop,68,"['acoustic_pop', 'dance_pop', 'neo_mellow', 'pop']",low,Neutral
Dan Berk,4ptDJbJl35d7gQfeNteBwp,Solo,0.489,0.314,7,-9.245,0,0.0331,0.749,0.0,0.113,0.607,124.234,41,acoustic_chill,40,['acoustic_chill'],low,Neutral
Anna Hamilton,0X9MxHR1rTkEHDjp95F2OO,Bad Liar,0.691,0.234,3,-6.441,1,0.0285,0.777,0.0,0.12,0.209,87.103,37,acoustic_chill,57,['acoustic_chill'],high,Negative
Chord Overstreet,4LbWtBkN82ZRhz9jqzgrb3,Hold On - Remix,0.755,0.78,2,-6.084,1,0.0327,0.124,2.83e-05,0.121,0.387,120.004,59,acoustic_pop singer-songwriter_pop,49,"['acoustic_pop', 'singer-songwriter_pop']",low,Neutral
Landon Pigg,1KHdq8NK9QxnGjdXb55NiG,Falling in Love at a Coffee Shop,0.489,0.561,4,-7.933,1,0.0274,0.2,4.56e-05,0.179,0.238,83.457,35,acoustic_pop,52,['acoustic_pop'],high,Positive
Andrew Foy,6xKeQgzfjixSUld14qUezm,ily (i love you baby),0.706,0.112,2,-18.098,1,0.0391,0.827,4.03e-06,0.125,0.414,110.154,39,acoustic_guitar_cover,50,['acoustic_guitar_cover'],high,Positive
Andrew Foy,4Yo0igmcoNyat1secaH0OD,At My Worst,0.795,0.0841,10,-18.09,0,0.0461,0.742,1.17e-05,0.0853,0.609,91.803,39,acoustic_guitar_cover,47,['acoustic_guitar_cover'],high,Negative
Boyce Avenue,6CgNoAbFJ4Q4Id4EjtbXlC,Photograph,0.717,0.32,3,-8.393,1,0.0283,0.83,0.0,0.107,0.322,107.946,65,acoustic_cover neo_mellow viral_pop,64,"['acoustic_cover', 'neo_mellow', 'viral_pop']",low,Neutral
Boyce Avenue,210JCw2LbYD4YIs8GiZ9iP,Demons,0.678,0.351,0,-8.654,1,0.0266,0.747,0.0,0.355,0.569,90.032,65,acoustic_cover neo_mellow viral_pop,59,"['acoustic_cover', 'neo_mellow', 'viral_pop']",low,Neutral
Jason Mraz,0BUuuEvNa5T4lMaewyiudB,93 Million Miles,0.572,0.454,3,-10.286,1,0.0258,0.477,1.37e-05,0.0974,0.515,140.182,69,acoustic_pop dance_pop neo_mellow pop,2,"['acoustic_pop', 'dance_pop', 'neo_mellow', 'pop']",low,Neutral
Jason Mraz,3Hn3LfhrQOaKihdCibJsTs,Unlonely,0.796,0.667,5,-4.831,0,0.0392,0.381,0.0,0.221,0.754,97.988,69,acoustic_pop dance_pop neo_mellow pop,0,"['acoustic_pop', 'dance_pop', 'neo_mellow', 'pop']",low,Neutral
Jason Mraz,6D33wCKzWtNEgOovgeVJ7r,Bella Luna,0.755,0.454,9,-9.609,0,0.0352,0.757,0.0,0.236,0.33,120.06,69,acoustic_pop dance_pop neo_mellow pop,1,"['acoustic_pop', 'dance_pop', 'neo_mellow', 'pop']",low,Neutral
Jason Mraz,5IfCZDRXZrqZSm8AwE44PG,Winter Wonderland,0.62,0.309,5,-9.209,1,0.0495,0.788,0.0,0.146,0.664,145.363,69,acoustic_pop dance_pop neo_mellow pop,0,"['acoustic_pop', 'dance_pop', 'neo_mellow', 'pop']",low,Neutral
Jason Mraz,0dzKBptH2P5j5a0MifBMwM,If It Kills Me,0.633,0.429,4,-6.784,0,0.0381,0.0444,0.0,0.132,0.52,143.793,69,acoustic_pop dance_pop neo_mellow pop,0,"['acoustic_pop', 'dance_pop', 'neo_mellow', 'pop']",low,Neutral
Chord Overstreet,1m5LC29RE52Bxy7hxvpOlL,All I Want For Christmas Is A Real Good Tan,0.593,0.455,6,-8.192,1,0.0388,0.366,0.0,0.0914,0.564,202.019,59,acoustic_pop singer-songwriter_pop,0,"['acoustic_pop', 'singer-songwriter_pop']",high,Positive
Brandi Carlile,3H36x7buZdQD4687VmFrwY,Party of One,0.296,0.206,0,-11.799,1,0.0412,0.782,0.000225,0.0959,0.202,165.4,61,acoustic_pop ectofolk folk indie_folk lilith modern_folk_rock new_americana,0,"['acoustic_pop', 'ectofolk', 'folk', 'indie_folk', 'lilith', 'modern_folk_rock', 'new_americana']",low,Neutral
Brandi Carlile,0xbMRcMFqxJq1Wa7tvWPtn,Party of One (feat. Sam Smith),0.296,0.206,0,-11.799,1,0.0412,0.782,0.000225,0.0959,0.202,165.4,61,acoustic_pop ectofolk folk indie_folk lilith modern_folk_rock new_americana,0,"['acoustic_pop', 'ectofolk', 'folk', 'indie_folk', 'lilith', 'modern_folk_rock', 'new_americana']",low,Neutral
KT Tunstall,62EwQLDw0dprDzuLwQ0sH1,Lonely This Christmas,0.409,0.153,6,-10.74,0,0.0306,0.939,2.56e-05,0.108,0.18,85.262,59,ectofolk lilith neo_mellow pop_rock scottish_singer-songwriter,0,"['ectofolk', 'lilith', 'neo_mellow', 'pop_rock', 'scottish_singer-songwriter']",high,Negative
Brandi Carlile,3lvo0I8c2qBJDLZWqExDgC,Throwing Good After Bad,0.501,0.0952,2,-12.931,1,0.054,0.963,1.58e-05,0.0915,0.316,138.016,61,acoustic_pop ectofolk folk indie_folk lilith modern_folk_rock new_americana,0,"['acoustic_pop', 'ectofolk', 'folk', 'indie_folk', 'lilith', 'modern_folk_rock', 'new_americana']",high,Positive
Brandi Carlile,1ae8XfBQ3fDEvmBjFaemGV,This Time Tomorrow,0.606,0.326,10,-10.031,1,0.0294,0.841,0.0,0.139,0.414,91.626,61,acoustic_pop ectofolk folk indie_folk lilith modern_folk_rock new_americana,0,"['acoustic_pop', 'ectofolk', 'folk', 'indie_folk', 'lilith', 'modern_folk_rock', 'new_americana']",low,Neutral
Eddie Vedder,6sp6Vx3sv2l5qxPfbQkcyt,The Haves,0.474,0.519,7,-5.291,1,0.0253,0.281,0.0,0.107,0.326,151.832,59,acoustic_rock grunge permanent_wave,0,"['acoustic_rock', 'grunge', 'permanent_wave']",low,Neutral
Brandi Carlile,1WFVfVjCtbmdIv7j3Fa9iy,When You're Wrong,0.568,0.301,10,-10.163,0,0.0373,0.796,3.37e-06,0.118,0.142,88.029,61,acoustic_pop ectofolk folk indie_folk lilith modern_folk_rock new_americana,0,"['acoustic_pop', 'ectofolk', 'folk', 'indie_folk', 'lilith', 'modern_folk_rock', 'new_americana']",high,Negative
Brandi Carlile,0e5PAxSyZ5DWWVqKANHETz,You and Me on the Rock,0.568,0.686,1,-6.635,1,0.033,0.15,1.81e-06,0.0881,0.725,172.075,61,acoustic_pop ectofolk folk indie_folk lilith modern_folk_rock new_americana,0,"['acoustic_pop', 'ectofolk', 'folk', 'indie_folk', 'lilith', 'modern_folk_rock', 'new_americana']",low,Neutral
Brandi Carlile,6JGjevTaqr9J1xp7YvYUKF,"Speak Your Mind (From the Netflix Series ""We The People"")",0.476,0.666,6,-3.438,1,0.0446,0.314,0.0,0.342,0.498,148.155,61,acoustic_pop ectofolk folk indie_folk lilith modern_folk_rock new_americana,0,"['acoustic_pop', 'ectofolk', 'folk', 'indie_folk', 'lilith', 'modern_folk_rock', 'new_americana']",low,Neutral
Highland Peak,72xTsTouZ5nBmASX8k1XCW,Trampoline - Acoustic,0.596,0.2,0,-10.424,0,0.0305,0.91,0.000183,0.0884,0.308,107.893,37,acoustic_chill,33,['acoustic_chill'],low,Neutral
Motohiro Hata,3ILmwMefYZoQh5Cf5jeuUQ,透明だった世界,0.373,0.914,0,-4.185,1,0.0565,0.076,0.0,0.669,0.56,168.21,51,j-acoustic j-pop j-rock japanese_singer-songwriter,58,"['j-acoustic', 'j-pop', 'j-rock', 'japanese_singer-songwriter']",low,Neutral
Andrew Belle,2DHDuADAHoUW6n0z80RLQF,Pieces,0.494,0.652,6,-5.863,0,0.0314,0.0754,0.00256,0.125,0.298,137.018,50,acoustic_pop,54,['acoustic_pop'],low,Neutral
